73245,Nullpicker,152,4,39088,137
204035,Engel+desTodes,1629,1,551,198
205615,lililiililililililililil,733,230,2324134,47
256479,sdhfsod,643,255,2667230,35
257652,mpeG,643,206,2056746,60
475867,Livonia,173,1,2027,176
503235,TizianW,643,339,3455446,5
532123,doenges-team,733,172,1680435,78
557668,iililliiilililiililiiili,733,185,1806790,71
682881,Brausi,0,1,5948,153
832699,lllliiiilllliiiilllliiii,733,321,3099881,14
840147,Black+Willy,0,1,7693,150
877948,Kupfersulfid,2357,3,12193,141
882734,Mr.Lange,0,2,6924,151
1257571,Invasion+Marc,643,350,3501432,4
1318153,Scaleo+H1,0,0,0,225
1499771,Sovelles,882,2,19723,139
1515293,Hummes,152,262,2760907,29
1656346,ibelox,2010,73,655609,105
1789761,Leonardo+di+Caprisonne,0,7,66773,132
2053085,der+peruaner,4,55,540884,114
2062749,St.+Rike,0,1,1601,178
2142180,Legolas42,31,1,4880,156
2216242,sparti+andreas,0,1,1430,180
2444984,Bauernsepp,2370,1,311,206
2619870,cpu-007,0,1,3196,166
2660493,liillilillillillililliil,733,191,1926317,69
2667871,dev.baker,882,304,3178197,12
2679744,tortelinie,733,102,1059582,95
2811774,%C3%96l%C3%BCms%C3%BCz+Kahraman,307,1,4425,157
2920276,Wiesele,0,0,0,226
2951338,kerls,0,0,0,227
3109521,bananenfaust,4,57,598208,111
3220309,Prinz-Porko,0,1,407,203
3232988,Kaiserbvb,4,228,2384090,44
3240324,lililililililillilililil,733,231,2332225,46
3257711,NAxxxOR,0,1,26,218
3468221,Graf+von+Leipzig,0,1,768,192
7805538,Matzerot29,2325,1,3440,164
7806902,Aiyomayo,0,25,197884,127
7860348,Vollmond62,2391,1,2308,173
7901609,app3l,399,1,610,196
7924203,2%2Agood%2A4%2Ayou,760,1,26,219
8051624,BuiHu,0,1,26,220
8116656,starwars71,307,1,361,204
8198259,Tiger1896,152,263,2766252,28
8198979,Feel+my+Hardstyle+Spirit,0,1,26,221
8300935,Bashtime%3F,733,204,2055431,61
8311997,Herzog+Uli,152,53,529426,116
8315602,Sora,882,231,2312721,48
8332271,nonstop6,2308,1,5187,155
8349391,Sam-Olena,349,1,8434,148
8487021,graf+pit,0,1,737,193
8531744,Angus+von+Geldar,399,1,435,202
8590904,zitronenkuchen,0,1,1153,183
8593822,Der+bvb+Boss,0,1,231,209
8645048,lillillllillllillilliill,733,227,2286892,49
8766603,reporunner,0,1,1821,177
8829737,simba46,0,1,288,207
8839915,BierBaron.,882,205,2061626,59
8880253,X-Tempo-X,1107,1,579,197
8897367,Zwoogel1,882,1,3933,160
8922762,Yzerman19,0,1,1139,184
8979093,colderaser,643,324,3395303,7
9079088,Linus04,0,1,326,205
9263618,Jinxor,4,40,354269,119
9268817,K%C3%A4tzchen1001,152,59,592326,112
9306541,Uwe752,2309,1,701,194
9380418,Madafiii,643,163,1604881,81
9415506,AvalonFee,152,106,1059454,96
9490221,und+alle+so+yeeow,643,206,2090848,58
9519677,zimmerer20,0,1,1008,185
9574714,Rest+In+Peace%3F,733,214,2163390,52
9589757,illilliiiillillililiilli,733,201,2041609,63
9637025,Ninkasi,643,97,917095,98
9694313,Lerbanoel,882,305,3054527,16
9763267,hagenxd,4,210,2094717,57
9791018,Lord+Gandolph,2390,1,218,211
9795724,willschmitt,0,1,869,188
9863797,Lord+Wormar,0,1,222,210
9868037,Action+Jacks0n,882,291,3080745,15
9883742,luchse,399,1,3889,161
9890811,LoveMarie2009,2089,1,807,191
9915682,Marius73,4,78,816738,102
9964090,Abelos,733,16,154950,129
10019011,HandballPower,0,0,0,228
10125062,Tavas,2244,1,44,217
10174050,Chilla008,4,111,1096831,92
10175716,Baldor01,0,1,438,201
10186624,iliiiliiililiilliliiilii,4,332,3413786,6
10242175,ilillilllillllilllillili,733,220,2221022,51
10283391,Br0+von+Wotan,882,1,10503,143
1575844777,TaKeItEaSy,882,1,10170,145
1575855752,michaelsch,31,1,8360,149
1575903781,Black+Trinity,643,161,1618972,79
1576027166,Bauer19,4,111,1060309,94
